Description;Category
MAXIFARMA CT -;SAÚDE
745 TED. 0001 PAYPAL. B D;RECEITA
- PAY MERCATELLI - / 06 24;OUTROS
FREDDO CT -;RESTAURANTES
* UBER UBER * TRIP;TRANSPORTE
UBER UBER * TRIP *;TRANSPORTE
DISTRIBUICA INT COPEL 00;MORADIA
PAY - GA MAMBEMBE 10 - 12 /;LAZER E ENTRETENIMENTO
- PAY PAGESKIMOS;RESTAURANTES
- PAY PAGASMSERV 25 - 05 /;OUTROS
PAY FENA - REGINA 02 - / 12;MERCADO
YANG -CT;RESTAURANTES
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
POUPANÇA JUROS SALÁRIO;POUPANÇA E INVESTIMENTOS
- PAY COMERCIO LR - 22 12 /;OUTROS
- PAY BAMBU COCO - 06 05 /;RESTAURANTES
- RSHOP CAVEZZALE;COMPRAS DIVERSAS
- RSCSS SHOP PET - CL 16 / 05;CUIDADOS COM O PET
PAY FARMACIA - - UN 08 11 /;SAÚDE
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
PIX TRANSF 05 THIAGO 05 /;TRANSFERÊNCIA BANCÁRIA
* HNA - QDBERENI CT;OUTROS
NMACH - STUDIO CT;OUTROS
INT VS UNICLASS;PAGAMENTO CARTÃO
NETFLIX COM.;LAZER E ENTRETENIMENTO
ITALO SUPERMERCADOS LT;MERCADO
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
TRANSF PIX MARCIO 26 06 /;TRANSFERÊNCIA BANCÁRIA
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
IFOOD IN IFDDRIVE;RESTAURANTES
PAY -PRIMEIRA IG-16/06;OUTROS
KF HONESTY;MERCADO
TRANSF PIX ISABELL;MESADA
PAG LOJASREN * CT -;ROUPAS E ACESSÓRIOS
CEDRO;OUTROS
QRS PIX MARKETP13 PIX / 06;COMPRAS DIVERSAS
- PAY VARIEDADES - / 12 02;OUTROS
GYMPASSBR GYMPASS;SAÚDE
DE FOLHA PARTICIPACAO;SALÁRIO
PPRO MICROSOFT *;LAZER E ENTRETENIMENTO
* PAG ASMSERVI CT -;OUTROS
TRANSPO COLET CT - FUC -;TRANSPORTE
PAY -GROSSI COME-26/11;MERCADO
- PAY INDU RIMINI - 21 10 /;OUTROS
E TINTA TINT CT -;COMPRAS DIVERSAS
IFDMCDONALDS IFOOD;RESTAURANTES
PAY - ELVIS LUIZ - 10 22 /;OUTROS
POUP REMUNER BAS SALARIO;POUPANÇA E INVESTIMENTOS
PAY -ANGUS ASSAD-23/12;RESTAURANTES
DENISE WANGL-CT ELEZA;COMPRAS DIVERSAS
PAY - TRIPARK EST;TRANSPORTE
PIX WESTERN TRANSF;TRANSFERÊNCIA BANCÁRIA
PRIMA CT CANTIN -;RESTAURANTES
* PAG 02 LOJASRENNER / 03;ROUPAS E ACESSÓRIOS
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
- PAY WAL BOURBON;LAZER E ENTRETENIMENTO
A - BARATEIRAC CT LT DOS;ROUPAS E ACESSÓRIOS
INT PAG TIT BANCO 237;MORADIA
SEM PANMONHAS CT - TURA;RESTAURANTES
- PAY PAGASMSERV 08 - 05 /;OUTROS
ULTRAGAZ DA 21900 DEMAI;MORADIA
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
PAY -TRIPARK EST-29/05;TRANSPORTE
- RSHOP J CONFECCAO;COMPRAS DIVERSAS
PAY - GROSSI COME - 26 11 /;MERCADO
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
INT DISTRIBUICA 00 COPEL;MORADIA
PIX TRANSF FELIPE 18/12;OUTROS
- GREEN PAY GATE;RESTAURANTES
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
- PAY DRIVE BU IN - 01 12 /;RESTAURANTES
RSHOP CAVEZZALE -;COMPRAS DIVERSAS
RSHOP-LEROY MERLI;COMPRAS DIVERSAS
IFOOD IFDFRANGOS C;RESTAURANTES
K2 COMERCIO -CT DU02/02;COMPRAS DIVERSAS
000002 CEI DINHEIRO;RECEITA
PAY DONA - - 13 DEOLA / 12;RESTAURANTES
191 STAR SH;RESTAURANTES
PIX QRS PIX 05 MARKETP16 /;COMPRAS DIVERSAS
BRASIL EMPRESA;OUTROS
PAY GARAGEM - BAT - / 03 13;TRANSPORTE
GYMPASSBR GYMPASS;SAÚDE
PAY -TRIPARK EST-29/10;TRANSPORTE
UBER UBER * * TRIP;TRANSPORTE
- SUBWAY RSHOP BATE 24 - / 02;RESTAURANTES
PAY LA - - PIZZARIA / 01 01;RESTAURANTES
- PAY - PLANSHOPPIN / 02 12;OUTROS
- PAY COME GROSSI 26 - / 11;MERCADO
* UBER * UBER TRIP;TRANSPORTE
* DL YOUTUB GOOGLE;LAZER E ENTRETENIMENTO
PIX TRANSF ZOE SAL06/10;OUTROS
COSMETIC - LEO CT;COMPRAS DIVERSAS
* DM L CRUNCHYROLL;LAZER E ENTRETENIMENTO
- PAY PAG * ANDREPA 04 - 10 /;OUTROS
PAY MILLAN PIZZ -;RESTAURANTES
* DL YOUTUB GOOGLE;LAZER E ENTRETENIMENTO
IFD PAY - * - COMODOR 27 / 04;OUTROS
PAY GELA - FREDDO - 14 01 /;RESTAURANTES
- PAY IG PRIMEIRA 16 - / 06;OUTROS
PAY - I IFDDRIVE - 02 26 /;TRANSPORTE
* UBER TRIP. HELP UBER CO.;TRANSPORTE
PAY -SACOLAO POP-01/12;MERCADO
- RSHOP FARM PANVEL;SAÚDE
DM L * CRUNCHYROLL;LAZER E ENTRETENIMENTO
COBASI NO01 CURITIBA 02 /;CUIDADOS COM O PET
RSCSS-PANIFICADOR-03/03;MERCADO
PAY -PATIO BATEL-14/05;OUTROS
RSCSS-HONESTY KF;MERCADO
- PAY KF HONESTY - 17 11 /;MERCADO
- RSHOP BA TROPICAL;COMPRAS DIVERSAS
PAG INT BANCO TIT 237;MORADIA
MADEIRAMADEIR 02/03;COMPRAS DIVERSAS
GYMPASSBR GYMPASS;SAÚDE
- PAY AMER - PIPOCA 23 / 12;RESTAURANTES
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
- PAY PAG * - ANDRERI 04 12 /;OUTROS
- RSCSS BATOVI;RESTAURANTES
- PAY PANIFICADOR;MERCADO
PAGTO SEGUROS ITAU;SEGUROS
HNA * CT QDBERENI -;OUTROS
KF HONESTY;MERCADO
INT VS UNICLASS;PAGAMENTO CARTÃO
- PAY E MUCHINSKI;OUTROS
- PAY * PAG PRISMAM - 09 12 /;OUTROS
PAY -LUIZ ELVIS -29/10;OUTROS
UBER UBER * TRIP *;TRANSPORTE
PAY PAG - JORGELU *;OUTROS
- RSHOP SACOLAO - POP 03 05 /;MERCADO
POSTO PAY - KAIMA - 18 01 /;TRANSPORTE
ASMSERV;OUTROS
RSCSS PET - CL SHOP - 24 02 /;CUIDADOS COM O PET
PIX TRANSF THIAGO 24/11;OUTROS
PAY -POSTO KAIMA;TRANSPORTE
SHOK ROSA CT -;COMPRAS DIVERSAS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
RIMINI INDUS COMER - CT;OUTROS
IFD FOOD TR *;RESTAURANTES
PIX QRS IG01 PRIMEIRA 10 /;OUTROS
FLEX CLARO;TELECOMUNICAÇÕES
BARAQUIAS PAY - C - 07 12 /;RESTAURANTES
GYMPASS GYMPASSBR;SAÚDE
QRS PIX PAR IMPULSO;TRANSFERÊNCIA BANCÁRIA
QRS PIX S OI. A. - 09 E26 /;TELECOMUNICAÇÕES
PAY CO - FORNERIA;RESTAURANTES
- PAY KAIMA POSTO;TRANSPORTE
- PAY PEQUIM LOJA 18 - 06 /;COMPRAS DIVERSAS
IFOOD IN IFDDRIVE;RESTAURANTES
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
PAY - LA PIZZARIA;RESTAURANTES
218 STAR PAT CT - ATEL;COMPRAS DIVERSAS
PG UNIVERSO * 09 NARR 12 /;EDUCAÇÃO
- PAY PANIFICADOR;MERCADO
RESTAURANTES;RESTAURANTES
PAY -CUZ CUZ DA -29/11;RESTAURANTES
POSTO AUTO CT -;TRANSPORTE
DONALDS S MC - CT;RESTAURANTES
* DM LLC CRUNCHYROLL;LAZER E ENTRETENIMENTO
PAGPAULORO;OUTROS
- PAY PEREIRA - DA 15 11 /;OUTROS
PIX CLARO27 QRS 09 /;TELECOMUNICAÇÕES
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
- PAY TELECELL 27 - 10 /;OUTROS
COLET TRANSP RNSPE - CT. E;TRANSPORTE
POP SACOLAO;MERCADO
RSCSS MILLAN PIZZ -;RESTAURANTES
BMB - CT PARK;TRANSPORTE
* UBER UBER TRIP *;TRANSPORTE
YANG PAY - - 27 10 /;RESTAURANTES
- PAY COCO BAMBU - 10 21 /;RESTAURANTES
* UBER UBER TRIP *;TRANSPORTE
FLEX CLARO;TELECOMUNICAÇÕES
FOLHA PAGAMENTO MENSAL;OUTROS
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
LUIZ B ELVIS CT -;OUTROS
BOURBON PAY - WAL;LAZER E ENTRETENIMENTO
CAFES LN - LTD CT;RESTAURANTES
PIX TRANSF ANA PAU;TRANSFERÊNCIA BANCÁRIA
- PAY CURIT VISAO - / 18 10;SAÚDE
SHOP PET;CUIDADOS COM O PET
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
PAY - HONESTY 04 KF - 12 /;MERCADO
WOW PAY - * NIX BEA - 26 11 /;OUTROS
PAY - ELVIS - LUIZ 16 06 /;OUTROS
KF HONESTY;MERCADO
FOLHA DE PARTICIPACAO;OUTROS
SHOW CACAU;COMPRAS DIVERSAS
DAJU AGUA VE-CT;ROUPAS E ACESSÓRIOS
PAGAMENTO DE TÍTULO;MORADIA
- PAY - PANIFICADOR 25 11 /;MERCADO
RSCSS ARMAZEM - VIL 23 - 06 /;RESTAURANTES
- PAY RAIA PO 600 - / 29 11;SAÚDE
- RSCSS BATOVI 01 - 01 /;COMPRAS DIVERSAS
FLEX CLARO;TELECOMUNICAÇÕES
PAY - LN CAFES LT - 11 11 /;RESTAURANTES
PIX TRANSF 06 MARCIO 03 /;TRANSFERÊNCIA BANCÁRIA
- PAY RAABELANDIA;LAZER E ENTRETENIMENTO
DA 08806989 CLARO MOVEL;TELECOMUNICAÇÕES
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
PAG INT 35354118200 TIT;MORADIA
- RSCSS KF HONESTY;MERCADO
* UBER UBER TRIP *;TRANSPORTE
- PAY PAROL HAVAN;COMPRAS DIVERSAS
MERCATELLI CT -;COMPRAS DIVERSAS
TRANSPO COLET-CT NSP. E;TRANSPORTE
ASMSERV;OUTROS
PAY -3713 - GRSA-27/11;OUTROS
FARMÁCIA;SAÚDE
GRILL NATIVAS;RESTAURANTES
- FREDDO CT;RESTAURANTES
PIX FGUISOLI CU21 QRS / 02;OUTROS
SPEDINI;RESTAURANTES
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
- CHEE LANCHES CT;RESTAURANTES
- PAY KF HONESTY;MERCADO
* UBER UBER TRIP *;TRANSPORTE
- RSHOP POP SACOLAO;MERCADO
PAY - POSTO 04 AUTO - / 11;TRANSPORTE
PAY - UN FARMACIA - 06 03 /;SAÚDE
RSHOP SACOLAO POP - - 03 05 /;MERCADO
IFOOD FAST IFDZORA;RESTAURANTES
PANIFICADOR;RESTAURANTES
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
PAY - TAB KORINGA - / 12 31;RESTAURANTES
PAY - 27 TELECELL - 10 /;OUTROS
- PANIFICADORA ILIA CT;MERCADO
HONESTY PAY - KF 01 - / 11;MERCADO
IFDCHINA IFOOD IN;RESTAURANTES
SEM PARAR * ABASTECE;TRANSPORTE
PIX / QRS DEMERGE21 05;OUTROS
PAY PAG - * RESTAUR - 11 27 /;RESTAURANTES
RSCSS PIZZ - MILLAN;RESTAURANTES
- 3713 PAY - GRSA - 27 11 /;OUTROS
- PAY E MUCHINSKI;OUTROS
PIX QRS SEM PARAR I10/03;TRANSPORTE
PAY -PANIFICADOR-31/10;MERCADO
PIX PREFEITURA QRS 08 12 /;MORADIA
CENT GLOBAL;OUTROS
ESTREL NOVA;RESTAURANTES
- PAY PANIFICADOR 16 - 11 /;MERCADO
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
PAY PIZZARIA - LA;RESTAURANTES
PIX QRS IMPULSO PAR;TRANSFERÊNCIA BANCÁRIA
TRANSF PIX MARTTER31 12 /;TRANSFERÊNCIA BANCÁRIA
- PAY MP * RUEDOCA - 05 19 /;RESTAURANTES
- PAY POP SACOLAO - / 23 11;MERCADO
* MP MELIMAIS;LAZER E ENTRETENIMENTO
- PAY M R OLIV DE;OUTROS
VEIC PAGTO FINANC 15 / 24;TRANSPORTE
QRS PIX S CLARO. . A;TELECOMUNICAÇÕES
PAGAMENTO FOLHA MENSAL;SALÁRIO
- RIACHUELO CT 05 C01 / 03;ROUPAS E ACESSÓRIOS
WWW.WAVES.COM;COMPRAS DIVERSAS
HONESTY PAY KF - - 04 / 12;MERCADO
TRANSF ISABELL06 PIX / 11;MESADA
- PAY PAG * BOTECOD 17 - 12 /;RESTAURANTES
* UBER * UBER TRIP;TRANSPORTE
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
UBER UBER * * TRIP;TRANSPORTE
MANIA DOG;CUIDADOS COM O PET
ELVIS LUIZ B - M CT EZAM;OUTROS
PIX ISABELL01 TRANSF 12 /;MESADA
HAVAN PAROLI-CT RI02/02;ROUPAS E ACESSÓRIOS
SHOK ROSA CT -;COMPRAS DIVERSAS
* HNA QDBERENI CT -;OUTROS
- RSHOP - FARES TURIS 02 / 01;OUTROS
INT PAG 237 TIT BANCO;MORADIA
COM BELS ART - TAS CT;COMPRAS DIVERSAS
JUROS POUPANÇA;POUPANÇA E INVESTIMENTOS
SACOLAO TRANSFERÊNCIA POP;MERCADO
PAY -PANIFICADOR-17/05;MERCADO
RSCSS - HONESTY KF;MERCADO
PIX TRANSF 06 THIAGO 05 /;TRANSFERÊNCIA BANCÁRIA
INT VS UNICLASS;PAGAMENTO CARTÃO
VARIEDADES PAY - 02 - / 12;OUTROS
ASMSERV;OUTROS
PAY - PAG * - ASMSERV 10 22 /;OUTROS
POSTO AUTO;TRANSPORTE
PAY - - 25 RESTAURANTE 06 /;RESTAURANTES
RSCSS HONESTY - KF - 10 28 /;MERCADO
PAG VITORIAC * CT - INEDA;COMPRAS DIVERSAS
SAO DIVERSOS PAULO;OUTROS
SABOR ASI DA CT - DA;RESTAURANTES
- PAY UN FARMACIA - 08 11 /;SAÚDE
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
PANIFICADOR;RESTAURANTES
- CT PANIFICADORA ILIA;MERCADO
PIX QRS S CLARO. A.;TELECOMUNICAÇÕES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
SEM PARAR * ABASTECE;TRANSPORTE
POSTO IRM 4;TRANSPORTE
FARMACIA PAY - E;SAÚDE
MPMELIMAIS MP;OUTROS
- PAY BAMBU COCO;RESTAURANTES
- RSCSS KF HONESTY 06 - / 12;MERCADO
* UBER UBER * TRIP;TRANSPORTE
DE PAGAMENTO TÍTULO 237 BANCO;MORADIA
MADEIRAMADEIR 01 / 03;COMPRAS DIVERSAS
ITAU CLUB03 UNIBANCO 04 /;LAZER E ENTRETENIMENTO
FIGURAS ELET - CT IDRA;COMPRAS DIVERSAS
PARAR SEM SEM * PARAR;TRANSPORTE
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
RSCSS KF - HONESTY;MERCADO
- PAY LJ 3095 SH - / 11 16;OUTROS
TEMPO DA FE CT AURANT -;RESTAURANTES
PAY -PAGJOHNNYR;OUTROS
PIX QRS SHOP FAST S27 / 10;COMPRAS DIVERSAS
PAY - 13 RESTAURANTES - 12 /;RESTAURANTES
UBER UBER * TRIP *;TRANSPORTE
RSCSS HONESTY - - 28 KF / 10;MERCADO
ESTREL NOVA;RESTAURANTES
PAY P - BARBEARIA;CUIDADOS PESSOAIS
. ALIMENTAÇÃO CURITIBA;RESTAURANTES
UNIBANCO ITAU CLUB03 04 /;LAZER E ENTRETENIMENTO
INT VS UNICLASS;PAGAMENTO CARTÃO
- PAY FARMACIA 13 E - / 10;SAÚDE
PAGTO FINANC VEIC / 24 23;TRANSPORTE
PIX PIX QRS MARKETP16 / 05;COMPRAS DIVERSAS
PAGTO VEIC FINANC 23 24 /;TRANSPORTE
PIX ISABELL24 / TRANSF 05;MESADA
PIX MARCELA28 TRANSF 04 /;TRANSFERÊNCIA BANCÁRIA
COXINHA - CT LOVE ALLIADIU;RESTAURANTES
* UBER TRIP HELP. CO UBER.;TRANSPORTE
HNA OBOTICAR * CT -;SAÚDE
SHOP PET;CUIDADOS COM O PET
PAY - DONA DEOLA - / 29 11;RESTAURANTES
PANIFICADOR;MERCADO
PAG*ATENAFEN-CT;OUTROS
PAG PAY - * ANAFLAV - 06 12 /;OUTROS
PAY - DRIVE BU IN 01 - 12 /;RESTAURANTES
MP *MELIMAIS;LAZER E ENTRETENIMENTO
- RSCSS KF HONESTY - 28 10 /;MERCADO
TRANSF PIX MARTTER;TRANSFERÊNCIA BANCÁRIA
BEAL CIA;COMPRAS DIVERSAS
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
PAY FERNANDA -;OUTROS
DEMAI DA ULTRAGAZ 21900;MORADIA
PIX WESTERN TRANSF;TRANSFERÊNCIA BANCÁRIA
- PAY PANIFICADOR 10 - 03 /;MERCADO
PAY -MUCHINSKI E;OUTROS
- PAY ELVIS LUIZ - / 16 06;OUTROS
FARMACIA D E - NIS CT RIA;SAÚDE
CASA - CT CHINA;COMPRAS DIVERSAS
QRS PIX DEMERGE29 09 /;OUTROS
MR - CT CHEE;RESTAURANTES
- MERCATELLI CT;COMPRAS DIVERSAS
PAR CENTAURO - P CT BARIG;COMPRAS DIVERSAS
PAG TIT INT 157000402243;MORADIA
* PG UNIVERSO NARR 09 / 12;EDUCAÇÃO
RSHOP - SACOLAO POP;MERCADO
RESTAURANTES;RESTAURANTES
PAY MP - * RUEDOCA - / 05 19;RESTAURANTES
PG *UNIVERSO NARR 09/12;EDUCAÇÃO
- PAY G STRAPAS B;COMPRAS DIVERSAS
PORCELANAS 02 SCHMID 03 /;COMPRAS DIVERSAS
QRS PIX FAST SHOP S27 / 10;COMPRAS DIVERSAS
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
- BALAROTI CT;MORADIA
PAROLI HAVAN - RI02 CT 02 /;ROUPAS E ACESSÓRIOS
BRASIL EMPRESA;OUTROS
UBER *UBER *TRIP;TRANSPORTE
- PAY PANIFICADOR - 11 25 /;MERCADO
PAY - GELA FREDDO - / 01 14;RESTAURANTES
PAGASMSERV PAY - - 08 05 /;OUTROS
PRIMA - CT CANTIN;RESTAURANTES
SHOP PET;CUIDADOS COM O PET
LJ SHOP 0041 - CT IO BA;COMPRAS DIVERSAS
RSHOP-SACOLAO POP-08/03;MERCADO
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
* PAG ASMSERVI CT -;OUTROS
APPLE. CO SAO PAULO /;LAZER E ENTRETENIMENTO
ALIMENT GWB;RESTAURANTES
MEGA - CT PAPELAR BAZAR;EDUCAÇÃO
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
AUROKE CASA DE CARNES;MERCADO
PIX COPEL QRS / DISTR22 12;MORADIA
INT TIT 157000401617 PAG;MORADIA
INT UNICLASS VS;PAGAMENTO CARTÃO
IFDFRANGOS IFOOD C;RESTAURANTES
JUROS POUPANCA SALARIO;RECEITA
PAY - - PANIFICADOR 10 31 /;MERCADO
PAY -MUSTANG SAL-29/05;RESTAURANTES
PAY -REI DA CALA-18/05;OUTROS
RSCSS-BATOVI;RESTAURANTES
VE DAJU AGUA CT - 02 / 02;ROUPAS E ACESSÓRIOS
ESTAPAR CCI -CT;TRANSPORTE
STARBUCKS 21 - TIO BA CT;RESTAURANTES
PAY DAGUA - RODA;LAZER E ENTRETENIMENTO
LIGHTLA - LOJA CT;COMPRAS DIVERSAS
HONESTY KF;MERCADO
- PAY JUNIOR MP;OUTROS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
SHOP FAST SA 07 12 /;COMPRAS DIVERSAS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
TIT BANCO MOBILEPAG 033;OUTROS
PAGTO FINANC 18 VEIC 24 /;TRANSPORTE
FESTV SUPER;COMPRAS DIVERSAS
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY FESTVAL BAT - / 10 04;MERCADO
- RSHOP 194 RAIA;COMPRAS DIVERSAS
TRANSF PIX WESTERN;TRANSFERÊNCIA BANCÁRIA
BK DRIVE THRU;RESTAURANTES
PAY -IRMAOS MADA-14/12;RESTAURANTES
- TEMPO PAY DA FE - 12 11 /;OUTROS
RSHOP-FAST SHOP S;COMPRAS DIVERSAS
PAY PIZZ - MILLAN;RESTAURANTES
PRIM PG * TON - CT NITIN;OUTROS
PIX ISABELL01 TRANSF 12 /;MESADA
- RSCSS KF HONESTY - / 06 12;MERCADO
PRATA E BELE-CT OMERCI;COMPRAS DIVERSAS
RSHOP-SACOLAO POP;MERCADO
RSCSS-PAMONHAS SE-24/02;RESTAURANTES
* UBER UBER * TRIP;TRANSPORTE
IFOOD FAST IFDZORA;RESTAURANTES
- PANIFICADORA ILIA CT;MERCADO
- RSHOP BA TROPICAL;COMPRAS DIVERSAS
- PAY KAIMA POSTO;TRANSPORTE
- RSCSS PANIFICADOR - / 03 03;MERCADO
- PAY BERLINF * NAT - / 12 31;RESTAURANTES
GYMPASSBR GYMPASS;SAÚDE
PIX TRANSF TATIANE02/01;TRANSFERÊNCIA BANCÁRIA
TRANSPO COLET-CT NSP. E;TRANSPORTE
MPMELIMAIS MP;OUTROS
TEMPO DA - CT FE AURANT;RESTAURANTES
DO BURACO P;LAZER E ENTRETENIMENTO
TATIANE27 PIX TRANSF / 10;OUTROS
UBER UBER * * TRIP;TRANSPORTE
PANIFICADOR;MERCADO
- FARES RSHOP TURIS;LAZER E ENTRETENIMENTO
PIX PRIMEIR26 TRANSF 10 /;OUTROS
FOLHA PAGAMENTO MENSAL;SALÁRIO
NATIVAS GRILL;RESTAURANTES
PAY - SU TIA CREP 23 - 06 /;RESTAURANTES
- BALAROTI CT;MORADIA
PAY - RODA DAGUA;LAZER E ENTRETENIMENTO
BURACO P DO;LAZER E ENTRETENIMENTO
PAY - FARMACIA - E / 10 13;SAÚDE
ELVIS LUIZ B - CT EZAM M;OUTROS
PIX QRS DEPARTAMENT;OUTROS
PIX DANILO TRANSF;TRANSFERÊNCIA BANCÁRIA
DA DEMAI 21900 ULTRAGAZ;MORADIA
PREFEITURA PIX QRS 08 / 12;OUTROS
PANIFICADOR;MERCADO
RSCSS SAO - SIM GAB;SAÚDE
RSCSS PA - PASSAUNA;LAZER E ENTRETENIMENTO
- PAY - BRAVIUM / 28 11;OUTROS
- PAY BAT 06 ESTACIO - / 12;TRANSPORTE
PAY -LJ 3095 SH-08/12;OUTROS
PAY -PEQUIM LOJA-18/06;COMPRAS DIVERSAS
RODRIGO14 PIX TRANSF / 11;OUTROS
. NETFLIX COM;LAZER E ENTRETENIMENTO
- PAY RESTAURANTE 25 - 06 /;RESTAURANTES
PAY - PAG FAMILIA * - / 11 01;OUTROS
- SACOLAO POP PAY - 10 / 12;MERCADO
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
POP SACOLAO;MERCADO
COBASI CURITIBA NO01/02;CUIDADOS COM O PET
- PAY FARMACIA UN - / 11 08;SAÚDE
- PAY RIMINI INDU - / 10 21;OUTROS
PAY -PANIFICADOR;MERCADO
INT DISTRIBUICA 00 COPEL;MORADIA
FESTV SUPER;COMPRAS DIVERSAS
GOLOSIT;OUTROS
DA MOVEL 08806989 CLARO;TELECOMUNICAÇÕES
ESTACIONAME;TRANSPORTE
* DM LLC CRUNCHYROLL;LAZER E ENTRETENIMENTO
PIX MARTTER31 TRANSF 12 /;TRANSFERÊNCIA BANCÁRIA
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
SUBWAY BATEL - CT;RESTAURANTES
- TRIPARK PAY EST - 29 10 /;TRANSPORTE
- RSCSS KF - HONESTY 28 / 10;MERCADO
SUBSCRIPTION CHATGPT;LAZER E ENTRETENIMENTO
TRANSF THIAGO PIX 24 / 11;OUTROS
- PAY CLOUDPARK A 29 - 05 /;TRANSPORTE
PAGTO SEGUROS ITAU;SEGUROS
- PAY TRIPARK EST - 05 29 /;TRANSPORTE
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
PIX QRS 08 PREFEITURA 12 /;MORADIA
TIT TIT PAG ITAU ULO;OUTROS
* PAG PAODAVOVO CT -;MERCADO
FLEX CLARO;TELECOMUNICAÇÕES
PANIFICADOR;MERCADO
INT VS UNICLASS;PAGAMENTO CARTÃO
CAFE CAMP DO CT -;RESTAURANTES
POSTO AUTO CT -;TRANSPORTE
UBER UBER * * TRIP;TRANSPORTE
INT COPEL DISTRIBUICA 00;MORADIA
DEB SEGUROS AUTOR ZURICH;SEGUROS
- PAY BARAQUIAS - C 07 12 /;RESTAURANTES
MÓVEL CLARO;TELECOMUNICAÇÕES
7076 SHOP - B CURT CT;COMPRAS DIVERSAS
ELVIS LUIZ B CT -;OUTROS
IFOOD IFDFERNANDES;RESTAURANTES
PAY PAG - BOTECOD * 17 - / 12;RESTAURANTES
POPULAR SACOLAO;MERCADO
INT VS UNICLASS;PAGAMENTO CARTÃO
- PAY GATE GREEN - 10 03 /;RESTAURANTES
PAG ASMSERVI * CT -;OUTROS
PAY -VARIEDADES -02/12;OUTROS
* PAG ASMSERVI CT -;OUTROS
SHOK ROSA CT -;COMPRAS DIVERSAS
A RENT WISH CA02 - CT / 02;OUTROS
PAY RESTAURANTES -;RESTAURANTES
BANCA CURITI - CT;OUTROS
PAY G B - STRAPAS;COMPRAS DIVERSAS
PG *UNIVERSO NARR 07/12;EDUCAÇÃO
* UBER UBER TRIP *;TRANSPORTE
NETFLIX.COM;LAZER E ENTRETENIMENTO
- PAY GATE GREEN 10 - / 03;RESTAURANTES
FOLHA DE FERIAS;SALÁRIO
- RSCSS SIM GAB SAO;SAÚDE
PAY - PLK FILIAL - / 11 16;OUTROS
SUBWAY BATEL - CT;RESTAURANTES
PAY -RODA DAGUA;LAZER E ENTRETENIMENTO
COLET TRANSPO - CT FUC -;TRANSPORTE
COSTELA;RESTAURANTES
KF HONESTY;MERCADO
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
FILIAL PAY - PLK - / 16 11;OUTROS
- PAY - PANIFICADOR 01 12 /;MERCADO
PAG*ASMSERVI-CT;COMPRAS DIVERSAS
PAY -PANIFICADOR-04/03;MERCADO
RSHOP LIV - JO CTBA;COMPRAS DIVERSAS
PIX PAR QRS IMPULSO;TRANSFERÊNCIA BANCÁRIA
PAGTO FINANC 19 VEIC 24 /;TRANSPORTE
ISABEL TRANSFERÊNCIA;MESADA
- RSHOP CONFECCAO - J / 23 01;ROUPAS E ACESSÓRIOS
SCHMID PORCELANAS / 01 03;COMPRAS DIVERSAS
- RSHOP AREATEC;COMPRAS DIVERSAS
SABOR DA ASI-CT DA;RESTAURANTES
POSTO IRM 4;TRANSPORTE
SABOR DA ASI DA - CT;RESTAURANTES
- PAY PAR IMPULSO;LAZER E ENTRETENIMENTO
